victim_id,numeric_id,value_numeric
244,4,-92.9389578
245,1,2000-06-05
245,2,70748
245,3,30.8374036
245,4,-91.2176087
246,1,2000-06-05
246,2,33435
246,3,26.5288645
246,4,-80.0672677
247,1,2000-06-06
247,2,87312
247,3,35.4250259
247,4,-108.3153489
248,1,2000-06-06
248,2,83704
248,3,43.6053353
248,4,-116.2877932
249,1,2000-06-08
249,2,70808
249,3,30.423967
249,4,-91.139497
250,1,2000-06-08
250,2,34689
250,3,28.1392591
250,4,-82.7487267
251,1,2000-06-08
251,2,90272
251,3,34.0402614
251,4,-118.5544137
252,1,2000-06-09
252,2,63349
252,3,38.970816
252,4,-91.134569
253,1,2000-06-09
253,2,94505
253,3,37.8939057
253,4,-121.6105952
254,1,2000-06-09
254,2,80214
254,3,39.7403089
254,4,-105.0578916
255,1,2000-06-09
255,2,29303
255,3,35.0022168
255,4,-82.0123488
256,1,2000-06-10
256,2,35160
256,3,33.4316448
256,4,-86.1201342
257,1,2000-06-10
257,2,95319
257,3,37.6375325
257,4,-120.8984236
258,1,2000-06-11
258,2,75220
258,3,32.8781179
258,4,-96.8960164
259,1,2000-06-11
259,2,94588
259,3,37.6897044
259,4,-121.8728921
260,1,2000-06-12
260,2,63134
260,3,38.721723
260,4,-90.316599
261,1,2000-06-12
261,2,55408
261,3,44.9489637
261,4,-93.2998689
262,1,2000-06-12
262,2,63134
262,3,38.721723
262,4,-90.316599
263,1,2000-06-14
263,2,39044
263,3,32.0202757
263,4,-90.0525718
264,1,2000-06-14
264,2,39044
264,3,32.0202757
264,4,-90.0525718
265,1,2000-06-14
265,2,90062
265,3,34.001905
265,4,-118.3020161
266,1,2000-06-16
266,2,NULL
266,3,32.912624
266,4,-96.6388833
267,1,2000-06-17
267,2,67901
267,3,37.0558584
267,4,-100.9455733
268,1,2000-06-18
268,2,60621
268,3,41.7704189
268,4,-87.649764
269,1,2000-06-20
269,2,60636
269,3,41.7797614
269,4,-87.6833107
270,1,2000-06-20
270,2,94129
270,3,37.8080561
270,4,-122.4763625
271,1,2000-06-21
271,2,43223
271,3,39.9557706
271,4,-83.0566688
272,1,2000-06-22
272,2,98133
272,3,47.7264666
272,4,-122.345632
273,1,2000-06-23
273,2,83402
273,3,43.4920467
273,4,-112.0358361
274,1,2000-06-23
274,2,64836
274,3,37.1947108
274,4,-94.3100496
275,1,2000-06-25
275,2,40212
275,3,38.2418795
275,4,-85.8317826
276,1,2000-06-26
276,2,87110
276,3,35.1165183
276,4,-106.6040452
277,1,2000-06-26
277,2,33026
277,3,26.0311076
277,4,-80.2950032
278,1,2000-06-27
278,2,28205
278,3,35.2344129
278,4,-80.7800596
279,1,2000-06-27
279,2,85711
279,3,32.218687
279,4,-110.8647
280,1,2000-06-28
280,2,44055
280,3,41.4246088
280,4,-82.1539469
281,1,2000-06-28
281,2,61704
281,3,40.4893188
281,4,-88.9505451
282,1,2000-06-28
282,2,87113
282,3,35.0808073
282,4,-106.5279445
283,1,2000-06-28
283,2,95351
283,3,37.6077561
283,4,-121.0304396
284,1,2000-06-29
284,2,72012
284,3,35.0706423
284,4,-91.8795856
285,1,2000-06-30
285,2,31313
285,3,31.8489637
285,4,-81.6110628
286,1,2000-06-30
286,2,31313
286,3,31.8489637
286,4,-81.6110628
287,1,2000-06-30
287,2,31313
287,3,31.8489637
287,4,-81.6110628
288,1,2000-06-30
288,2,95138
288,3,37.2957683
288,4,-121.7841031
289,1,2000-06-30
289,2,31313
289,3,31.8489637
289,4,-81.6110628
290,1,2000-07-01
290,2,63114
290,3,38.7023506
290,4,-90.3431844
291,1,2000-07-02
291,2,77301
291,3,30.3027463
291,4,-95.4500786
292,1,2000-07-02
292,2,95125
292,3,37.296837
292,4,-121.8802754
293,1,2000-07-02
293,2,55441
293,3,45.027239
293,4,-93.402264
294,1,2000-07-04
294,2,87068
294,3,34.864795
294,4,-106.6905336
295,1,2000-07-04
295,2,94619
295,3,37.7937454
295,4,-122.2003588
296,1,2000-07-04
296,2,85345
296,3,33.5813924
296,4,-112.2202715
297,1,2000-07-05
297,2,92114
297,3,32.7184519
297,4,-117.049347
298,1,2000-07-07
298,2,44721
298,3,40.9047489
298,4,-81.3602447
299,1,2000-07-07
299,2,44721
299,3,40.9047489
299,4,-81.3602447
300,1,2000-07-07
300,2,44721
300,3,40.9047489
300,4,-81.3602447
301,1,2000-07-07
301,2,11427
301,3,40.7255322
301,4,-73.7653003
302,1,2000-07-07
302,2,90262
302,3,33.9183343
302,4,-118.2024906
303,1,2000-07-08
303,2,64804
303,3,37.0193161
303,4,-94.5005808
304,1,2000-07-08
304,2,29672
304,3,34.701793
304,4,-82.941495
305,1,2000-07-08
305,2,33844
305,3,28.0853265
305,4,-81.6210903
306,1,2000-07-09
306,2,87110
306,3,35.1165183
306,4,-106.6040452
307,1,2000-07-09
307,2,74120
307,3,36.1510658
307,4,-95.9735587
308,1,2000-07-10
308,2,30517
308,3,34.1223804
308,4,-83.8276831
309,1,2000-07-10
309,2,60120
309,3,42.037058
309,4,-88.2799691
310,1,2000-07-10
310,2,59330
310,3,47.106401
310,4,-104.7107931
311,1,2000-07-10
311,2,89119
311,3,36.1008826
311,4,-115.1459283
312,1,2000-07-14
312,2,62837
312,3,38.3786118
312,4,-88.364184
313,1,2000-07-14
313,2,85282
313,3,33.3928639
313,4,-111.9395878
314,1,2000-07-15
314,2,60402
314,3,41.8231534
314,4,-87.7854108
315,1,2000-07-15
315,2,30523
315,3,34.8440462
315,4,-83.5880291
316,1,2000-07-16
316,2,52302
316,3,42.0196537
316,4,-91.5107659
317,1,2000-07-16
317,2,76543
317,3,31.098448
317,4,-97.6932904
318,1,2000-07-16
318,2,94102
318,3,37.7834304
318,4,-122.4101895
319,1,2000-07-17
319,2,79912
319,3,31.8149706
319,4,-106.5444542
320,1,2000-07-17
320,2,95608
320,3,38.5951264
320,4,-121.3462102
321,1,2000-07-18
321,2,60623
321,3,41.8371521
321,4,-87.7090733
322,1,2000-07-19
322,2,68110
322,3,41.299617
322,4,-95.9469514
323,1,2000-07-19
323,2,29054
323,3,34.039039
323,4,-81.389178
324,1,2000-07-19
324,2,93907
324,3,36.8001379
324,4,-121.669648
325,1,2000-07-19
325,2,95206
325,3,37.9407685
325,4,-121.2756357
326,1,2000-07-20
326,2,33069
326,3,26.2286939
326,4,-80.1596041
327,1,2000-07-20
327,2,60622
327,3,41.9056633
327,4,-87.6917206
328,1,2000-07-20
328,2,93636
328,3,36.9232054
328,4,-119.7939613
329,1,2000-07-20
329,2,93636
329,3,36.9232054
329,4,-119.7939613
330,1,2000-07-20
330,2,90746
330,3,33.8548525
330,4,-118.2420129
331,1,2017-10-31
331,2,94089
331,3,37.3965713
331,4,-122.0145895
332,1,2000-07-23
332,2,80623
332,3,40.288498
332,4,-104.775699
333,1,2000-07-24
333,2,91367
333,3,34.1855104
333,4,-118.6358641
334,1,2000-07-24
334,2,61776
334,3,40.5736639
334,4,-88.9013488
335,1,2000-07-25
335,2,60649
335,3,41.7656961
335,4,-87.5631588
336,1,2000-07-25
336,2,94804
336,3,37.9153955
336,4,-122.3229286
337,1,2000-07-26
337,2,44685
337,3,40.9679741
337,4,-81.3918084
338,1,2000-07-27
338,2,33445
338,3,26.439481
338,4,-80.0966709
339,1,2000-07-29
339,2,64133
339,3,39.009664
339,4,-94.4897904
340,1,2000-07-29
340,2,92104
340,3,32.741102
340,4,-117.1301075
341,1,2000-07-29
341,2,92376
341,3,34.1080958
341,4,-117.3747908
342,1,2000-07-31
342,2,79410
342,3,33.5632703
342,4,-101.922455
343,1,2000-07-31
343,2,28208
343,3,35.2244395
343,4,-80.8978919
344,1,2000-07-31
344,2,28208
344,3,35.2244395
344,4,-80.8978919
345,1,2000-07-31
345,2,55030
345,3,45.7922039
345,4,-93.1626812
346,1,2000-08-01
346,2,NULL
346,3,35.3732921
346,4,-119.0187125
347,1,2000-08-02
347,2,4920
347,3,45.0375976
347,4,-69.820422
348,1,2000-08-02
348,2,95324
348,3,37.4084433
